Case_ID,Case_Title,Crime_Type,Description,Location,Date,Keywords,Evidence_Summary,Evidence_Count,Status,Priority,FIR_Text,Suspect_Count
C084,Pratap Nagar Extension Online Payment Fraud,Fraud,A victim was deceived by a fake customer-care representative and made a payment.,Pratap Nagar Extension,2026-08-23,"fraud, pratap nagar extension, investigation, evidence",Email or chat records; Transaction record; Bank statement; Victim statement; Screenshots of messages,5,Under Investigation,Open,The complainant reported a fraud incident at Pratap Nagar Extension on 2026-08-23. A victim was deceived by a fake customer-care representative and made a payment.,1
C085,Sakkardara Square Public Place Assault,Assault,An individual reported being physically assaulted following an argument.,Sakkardara Square,2026-08-30,"assault, sakkardara square, investigation, evidence",Photographs of injuries; CCTV footage,2,Closed,Closed,The complainant reported a assault incident at Sakkardara Square on 2026-08-30. An individual reported being physically assaulted following an argument.,2
C086,Lakadganj Residential Burglary,Burglary,A house was entered through a rear door and electronic items were reported missing.,Lakadganj,2026-09-06,"burglary, lakadganj, investigation, evidence",Photographs of entry point; Footprint examination,2,Under Investigation,Open,The complainant reported a burglary incident at Lakadganj on 2026-09-06. A house was entered through a rear door and electronic items were reported missing.,1
C087,Poonam Vihar Chain Snatching,Chain Snatching,An unknown person snatched a chain while passing the pedestrian.,Poonam Vihar,2026-09-13,"chain snatching, poonam vihar, investigation, evidence",CCTV footage,1,Under Investigation,Open,The complainant reported a chain snatching incident at Poonam Vihar on 2026-09-13. An unknown person snatched a chain while passing the pedestrian.,3
C088,Ayodhya Nagar Online Account Crime,Cybercrime,A victim reported unauthorized access to an online account.,Ayodhya Nagar,2026-09-20,"cybercrime, ayodhya nagar, investigation, evidence",Message or email records; Login/activity records; IP/session information,3,Under Investigation,Critical,The complainant reported a cybercrime incident at Ayodhya Nagar on 2026-09-20. A victim reported unauthorized access to an online account.,1
C089,Wanadongri Mobile Phone Theft,Theft,A laptop bag containing electronic items was reported missing from a workplace.,Wanadongri,2026-09-27,"theft, wanadongri, investigation, evidence",Stolen item identification details; Nearby camera still image; Victim statement,3,Under Investigation,Open,The complainant reported a theft incident at Wanadongri on 2026-09-27. A laptop bag containing electronic items was reported missing from a workplace.,1
C090,Hingna MIDC Motorcycle Theft,Vehicle Theft,A motorcycle was stolen from outside a commercial building.,Hingna MIDC,2026-10-04,"vehicle theft, hingna midc, investigation, evidence",Vehicle registration details; Parking-area witness statement; Recovered vehicle photograph; Vehicle tracking record,4,Closed,Closed,The complainant reported a vehicle theft incident at Hingna MIDC on 2026-10-04. A motorcycle was stolen from outside a commercial building.,1
C091,Somalwada Roadside Robbery,Robbery,An individual reported being threatened by an unknown person who took a mobile phone.,Somalwada,2026-10-11,"robbery, somalwada, investigation, evidence",Fingerprint examination; Victim statement,2,Under Investigation,Open,The complainant reported a robbery incident at Somalwada on 2026-10-11. An individual reported being threatened by an unknown person who took a mobile phone.,2
C092,Jaitala Online Payment Fraud,Fraud,A victim was contacted through a fraudulent investment offer and transferred money.,Jaitala,2026-10-18,"fraud, jaitala, investigation, evidence",Transaction record; Bank statement,2,Under Investigation,Open,The complainant reported a fraud incident at Jaitala on 2026-10-18. A victim was contacted through a fraudulent investment offer and transferred money.,2
C093,Besa Road Public Place Assault,Assault,The complainant reported an assault following a dispute near a market.,Besa Road,2026-10-25,"assault, besa road, investigation, evidence",Recovered object; Witness statement,2,Under Investigation,Open,The complainant reported a assault incident at Besa Road on 2026-10-25. The complainant reported an assault following a dispute near a market.,0
C094,Dharampeth Extension Residential Burglary,Burglary,Unknown persons entered a residence during the owner's absence and removed valuables.,Dharampeth Extension,2026-11-01,"burglary, dharampeth extension, investigation, evidence",Neighbour statement; CCTV footage; Photographs of entry point; Fingerprint evidence; Footprint examination,5,Under Investigation,Open,The complainant reported a burglary incident at Dharampeth Extension on 2026-11-01. Unknown persons entered a residence during the owner's absence and removed valuables.,3
C095,Civil Lines Extension Chain Snatching,Chain Snatching,A gold chain was forcibly taken from a person near a busy road.,Civil Lines Extension,2026-11-08,"chain snatching, civil lines extension, investigation, evidence",Recovered chain photograph; Victim statement; CCTV footage,3,Closed,Closed,The complainant reported a chain snatching incident at Civil Lines Extension on 2026-11-08. A gold chain was forcibly taken from a person near a busy road.,2
C096,Sitabuldi Online Account Crime,Cybercrime,A fake social media account was created using the victim's information.,Sitabuldi,2026-11-15,"cybercrime, sitabuldi, investigation, evidence",Victim statement; IP/session information; Login/activity records; Transaction records,4,Under Investigation,Open,The complainant reported a cybercrime incident at Sitabuldi on 2026-11-15. A fake social media account was created using the victim's information.,2
C097,Dharampeth Mobile Phone Theft,Theft,A mobile phone was reported stolen from a crowded public area.,Dharampeth,2026-11-22,"theft, dharampeth, investigation, evidence",Victim statement; CCTV footage; Witness statement; Stolen item identification details,4,Under Investigation,Open,The complainant reported a theft incident at Dharampeth on 2026-11-22. A mobile phone was reported stolen from a crowded public area.,1
C098,Sadar Motorcycle Theft,Vehicle Theft,A scooter was reported missing from a residential parking area.,Sadar,2026-11-29,"vehicle theft, sadar, investigation, evidence",Vehicle tracking record; Recovered vehicle photograph; Vehicle registration details,3,Under Investigation,Open,The complainant reported a vehicle theft incident at Sadar on 2026-11-29. A scooter was reported missing from a residential parking area.,2
C099,Manish Nagar Roadside Robbery,Robbery,An unknown person threatened the complainant and took a bag containing personal belongings.,Manish Nagar,2026-12-06,"robbery, manish nagar, investigation, evidence",Eyewitness statement; Fingerprint examination; CCTV footage,3,Under Investigation,Critical,The complainant reported a robbery incident at Manish Nagar on 2026-12-06. An unknown person threatened the complainant and took a bag containing personal belongings.,1
C100,Laxmi Nagar Online Payment Fraud,Fraud,A victim was deceived through a fake online payment request and lost money.,Laxmi Nagar,2026-12-13,"fraud, laxmi nagar, investigation, evidence",Bank statement; Transaction record,2,Closed,Closed,The complainant reported a fraud incident at Laxmi Nagar on 2026-12-13. A victim was deceived through a fake online payment request and lost money.,1
